MOUVEMENT,NUMERODEMANDE,NOMNAVIRE,LONGUEUR,TIRANTEAU,POSTEAQUAI,PROVENANCE,DESTINATION,DATEDEBUTMVTPREVUE,NUMEROSOFI,NAVIREDANGEREUX,CALLSIGN,TYPEVTS,NUMEROLLOYD,BONPOURMOUVEMENT, NOMBREDETUGS, DEBUTDESOPERATIONSCOMMERCIALES,OBSERVATIONS
D,209260,EEMS SKY,87.27,2.85,Q.ESCAUT NOR,Boston,Boston,2017-03-23 17:00:00,199673,0,PHJF,4,9421647,1,0,2017-03-10 06:00:00,
E,209364,DELFT SEAWAYS,186.65,6.75,RORO 3,Dover,Dover,2017-03-09 16:03:19,199723,3,MJYC9,5,9293088,1,0,,
S,208640,MSC UMA,194.06,9.8,FLAND MIL N,Antwerpen,Le Havre,2017-03-10 06:00:00,198895,3,9HA3605,4,9163192,1,1,,
E,208840,ALPHAGAS,114.62,6.25,,Tarragona,Rotterdam,2017-03-09 15:30:00,199465,3,V2KA7,2,9130456,0,1,Travaille a larrivee,ATTENTE INSTRUCTIONS VERSALIS
S,209227,WILSON VOLOS,114.4,6.1,TMV2Extension,Antwerpen,Mo i Rana,2017-03-09 14:00:00,199491,0,V2FD5,3,9534286,1,0,,Conditionne l'entrée du SENJA
E,209347,DUZGIT VENTURE,89.71,4.6,Q.SOLLAC 6,Rotterdam,Rotterdam,2017-03-09 12:00:00,199715,3,9HA2020,6,9445368,1,0,Travaille a larrivee,A couple du AM GHENT pour soutage
S,209321,WESER STAHL,192.21,10.4,QPO SUD,Bremen,Bremen,2017-03-09 23:30:00,199615,0,P3LS8,3,9186687,0,0,,
S,209363,NAVIOS FANTASTIKS,288.93,10.61,QPO NORD,Rotterdam,A ORDRE,2017-03-10 16:00:00,198628,0,3EAJ2,3,9325013,0,3,,
S,209303,TRANSVOLANTE,99.95,4.8,MULTIVRA MIL,Antwerpen,Kotka,2017-03-09 17:00:00,199527,3,ZDEO2,3,9219460,1,0,,
E,209163,JS LEKVAR,99.85,6.95,STOCKNOR4,karstoe,karstoe,2017-03-10 06:00:00,199627,3,9V9997,2,9578036,0,1,Travaille a larrivee,
S,209271,ORCANA,89.99,6.6,Q.ESCAUT NOR,Sharpness,Fos-sur-Mer,2017-03-09 14:15:00,199617,0,PHHP,4,9353711,1,0,,
E,209058,AM BUCHANAN,229,14.26,SOLLAC / Silonor,Tubarao,A ORDRE,2017-03-10 06:00:00,199567,0,V7AT9,3,9624110,0,3,Travaille a larrivee,
E,208793,TAMPA,291.95,17.94,Q.P.O. / AL DK,Tubarao,Hamburg,2017-03-08 20:00:00,199443,0,9HHA9,3,9363027,0,4,Travaille a larrivee,Prévu jetées le 10/03 à 13h23
E,209164,SENJA,147.55,6,TMV2Extension,Rotterdam,Visakhapatnam,2017-03-07 23:00:00,199628,0,9HA4223,3,9516868,1,2,2017-03-07 14:00:00,Aprés sortie du MS WILSON VOLOS.
S,209362,DOVER SEAWAYS,186.65,6.9,RORO 3,Dover,Dover,2017-03-09 15:46:12,199721,3,MLBZ6,5,9318345,1,0,,
S,209326,KINE,88.45,5.1,F12/1 SUD,IJmuiden,Belfast,2017-03-09 17:00:00,199599,0,C6WT4,4,9145140,1,0,,
S,209353,AASTUN,113.76,6.6,F13/4 NORD,Purfleet,Purfleet,2017-03-09 21:00:00,199619,0,ZDPA4,3,9321407,0,0,,
